country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,5,0,0.0,0.0,Asia
Albania,94,132,54.0,4.9,Europe
Algeria,30,0,14.0,0.7,Africa
Andorra,250,138,312.0,12.4,Europe
Angola,222,57,45.0,5.9,Africa
Antigua & Barbuda,107,128,45.0,4.9,North America
Argentina,198,25,221.0,8.3,South America
Armenia,26,179,11.0,3.8,
Australia,266,72,212.0,10.4,Oceania
Austria,284,75,191.0,9.7,Europe
Azerbaijan,26,46,5.0,1.3,Europe
Bahamas,127,176,51.0,6.3,North America
Bahrain,47,63,7.0,2.0,Asia
Bangladesh,5,0,0.0,0.0,Asia
Barbados,178,36,6.3,North America,
Belarus,147,373,42.0,14.4,Europe
Belgium,300,84,212.0,10.5,Europe
Belize,268,114,8.0,6.8,North America
Benin,39,4,13.0,1.1,Africa
Bhutan,28,0,0.0,0.4,Asia
Bolivia,46,8,3.8,South America,
Bosnia-Herzegovina,81,173,8.0,4.6,Europe
Botswana,178,35,35.0,5.4,Africa
Brazil,250,145,16.0,7.2 America,
Brunei,36,2,1.0,0.6,Asia
Bulgaria,236,252,94.0,10.3,Europe
Burkina Faso,30,7,7.0,4.3,Africa
Burundi,93,0,0.0,6.3,Africa
Cote d'Ivoire,42,1,7.0,4.0,Africa
Cabo Verde,149,56,16.0,4.0,Africa
Cambodia,62,65,1.0,2.2,Asia
Cameroon,152,1,4.0,5.8,Africa
Canada,245,122,100.0,8.2,North America
Central African Republic,22,2,1.0,1.8,Africa
Chad,20,1,1.0,0.4,Africa
Chile,135,124,172.0,7.6,South America
China,84,192,8.0,5.0,Asia
Colombia,164,76,3.0,4.2,South America
Comoros,6,3,1.0,0.1,Africa
Congo,81,1,9.0,1.7,Africa
Cook Islands,5,254,74.0,5.9,Oceania
Costa Rica,154,87,11.0,4.4,North America
Croatia,235,87,254.0,10.2,Europe
Cuba,98,137,5.0,4.2,North America
Cyprus,197,154,113.0,8.2,Europe
Czech Republic,366,170,134.0,11.8,Europe
North Korea,5,0,0.0,0.0,Asia
DR Congo,37,3,1.0,2.3,Africa
Denmark,229,81,278.0,10.4,Europe
Djibouti,20,44,3.0,1.1,Africa
Dominica,57,286,26.0,6.6,North America
Dominican Republic,198,147,9.0,6.2,North America
Ecuador,167,74,3.0,4.2,South America
Egypt,11,4,1.0,0.2,Africa
El Salvador,57,69,2.0,2.2,North America
